backend	task	size	seed	condition	passed	status	wall_s	prompt_tok	completion_tok	detail	run_id
qwen-dflash	ledger	2000	42	rlm	True	completed	94.86	11608	445	matched expected 10143.63	20260628-012944_ledger-2000_qwen-official_rlm_dflash
qwen-dflash	ledger	20000	42	rlm	True	completed	109.99	12007	588	matched expected 115797.87	20260628-013121_ledger-20000_qwen-official_rlm_dflash
qwen-mlxlm	ledger	2000	42	rlm	True	completed	93.54	11621	497	matched expected 10143.63	20260628-013551_ledger-2000_qwen-official-mlx-community-Qwen3.6-27B-8bit_rlm-roff-sub-supergemma4-26b-uncensored-mlx-4bit-v2
qwen-mlxlm	ledger	20000	42	rlm	True	completed	77.24	11800	622	matched expected 115797.87	20260628-013726_ledger-20000_qwen-official-mlx-community-Qwen3.6-27B-8bit_rlm-roff-sub-supergemma4-26b-uncensored-mlx-4bit-v2
qwen-mlxlm-s2	ledger	2000	42	rlm	True	completed	51.18	11621	497	matched expected 10143.63	20260628-014015_ledger-2000_qwen-official-mlx-community-Qwen3.6-27B-8bit_rlm-roff-sub-supergemma4-26b-uncensored-mlx-4bit-v2
qwen-mlxlm-s2	ledger	20000	42	rlm	True	completed	60.95	11800	622	matched expected 115797.87	20260628-014108_ledger-20000_qwen-official-mlx-community-Qwen3.6-27B-8bit_rlm-roff-sub-supergemma4-26b-uncensored-mlx-4bit-v2
dflash-warmup	ledger	2000	42	rlm	True	completed	23.05	11608	445	matched expected 10143.63	20260628-014328_ledger-2000_qwen-official-mlx-community-Qwen3.6-27B-8bit_rlm-roff-sub-supergemma4-26b-uncensored-mlx-4bit-v2
qwen-dflash-warm	ledger	2000	42	rlm	True	completed	23.15	11608	445	matched expected 10143.63	20260628-014353_ledger-2000_qwen-official-mlx-community-Qwen3.6-27B-8bit_rlm-roff-sub-supergemma4-26b-uncensored-mlx-4bit-v2
qwen-dflash-warm	ledger	20000	42	rlm	True	completed	30.55	12007	588	matched expected 115797.87	20260628-014417_ledger-20000_qwen-official-mlx-community-Qwen3.6-27B-8bit_rlm-roff-sub-supergemma4-26b-uncensored-mlx-4bit-v2
mlxlm-steady	ledger	2000	42	rlm	True	completed	113.25	18602	601	matched expected 10143.63	20260628-014716_ledger-2000_qwen-official-mlx-community-Qwen3.6-27B-8bit_rlm-roff-sub-supergemma4-26b-uncensored-mlx-4bit-v2
